Black Body Radiation Experiment Fri, Nov 29, 2024 1:15 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.03369
0.01015	-0.03723
0.01015	-0.03642
0.01015	-0.03015
0.01015	-0.03401
0.02030	-0.03256
0.02030	-0.03465
0.03046	-0.03176
0.03046	-0.03385
0.04061	-0.04157
0.04061	-0.03739
0.04061	-0.03417
0.04061	-0.03642
0.04061	-0.03884
0.04061	-0.03787
0.04061	-0.03433
0.04061	-0.03514
0.04061	-0.03546
0.04061	-0.03417
0.04061	-0.03498
0.04061	-0.03320
0.04061	-0.03723
0.05076	-0.03546
0.06091	-0.03675
0.09137	-0.03498
0.26396	-0.03063
0.46701	-0.03578
0.74112	-0.03304
0.97462	-0.03980
1.21827	-0.03739
1.31980	-0.03385
1.37056	-0.03385
1.49239	-0.03449
1.56345	-0.03626
1.61421	-0.03626
1.82741	-0.03288
1.91878	-0.03320
1.97970	-0.03626
2.14213	-0.03771
2.20305	-0.03546
2.29442	-0.03771
2.35533	-0.03417
2.47716	-0.03948
2.57868	-0.04335
2.75127	-0.03610
2.86294	-0.03385
3.03553	-0.03755
3.16751	-0.03111
3.35025	-0.03610
3.49239	-0.03819
3.56345	-0.03240
3.77665	-0.03208
3.88832	-0.03884
3.95939	-0.03996
4.15228	-0.03642
4.27411	-0.03481
4.45685	-0.04045
4.62944	-0.03691
4.83249	-0.03964
4.95431	-0.03369
5.01523	-0.03691
5.16751	-0.03546
5.27919	-0.03240
5.31980	-0.03481
5.49239	-0.03546
5.63452	-0.03417
5.89848	-0.04045
6.10152	-0.03417
6.18274	-0.03723
6.34518	-0.03498
6.42640	-0.03417
6.46701	-0.03723
6.55838	-0.03723
6.62944	-0.03481
6.68020	-0.03530
6.83249	-0.03272
6.94416	-0.03948
7.01523	-0.03610
7.21827	-0.03111
7.35025	-0.03208
7.43147	-0.04045
7.64467	-0.04222
7.78680	-0.03111
7.85787	-0.03514
8.10152	-0.03514
8.22335	-0.03836
8.35533	-0.03127
8.43655	-0.03626
8.47716	-0.03320
8.67005	-0.03401
8.84264	-0.03658
8.93401	-0.03208
9.17766	-0.03739
9.30964	-0.03320
9.51269	-0.03449
9.65482	-0.03369
9.74619	-0.03304
10.01015	-0.03498
10.18274	-0.03240
10.27411	-0.03626
10.49746	-0.03465
10.70051	-0.03385
10.80203	-0.03240
11.13706	-0.03562
11.41117	-0.03288
11.50254	-0.03465
11.76650	-0.03143
11.93909	-0.03015
12.02030	-0.03642
12.26396	-0.03240
12.43655	-0.03337
12.51777	-0.02999
12.77157	-0.03353
12.96447	-0.03176
13.16751	-0.03143
13.55330	-0.02516
13.80711	-0.02934
13.92893	-0.02805
14.40609	-0.02580
14.58883	-0.02178
14.82234	-0.02564
14.93401	-0.01920
15.03553	-0.01904
15.23858	-0.01824
15.34010	-0.01920
15.53299	-0.01550
15.63452	-0.01228
15.68528	-0.01276
15.87817	-0.01308
15.95939	-0.00600
16.01015	-0.01051
16.25381	-0.00504
16.43655	0.00076
16.50761	0.00044
16.78173	0.00913
16.93401	0.01090
17.00508	0.01943
17.29949	0.02683
17.45178	0.03214
17.60406	0.04164
17.97970	0.06273
18.15228	0.08751
18.32487	0.09846
18.65990	0.14868
18.86294	0.17958
19.05584	0.22014
19.40102	0.32235
19.59391	0.39189
19.79695	0.47381
20.31472	0.76837
20.51777	0.95862
20.75127	1.17624
21.09645	1.67939
21.31980	2.01097
21.49239	2.36074
21.85787	3.05191
22.05076	3.40200
22.39594	3.95733
22.57868	4.13729
22.90355	4.24835
23.07614	4.19475
23.23858	4.07982
23.56345	3.68401
23.72589	3.41134
23.78680	3.29464
23.97970	2.89658
24.13198	2.60218
24.18274	2.47454
24.37563	2.07729
24.51777	1.82860
24.57868	1.71802
24.81218	1.38870
24.99492	1.16964
25.05584	1.09206
25.23858	0.82680
25.39086	0.67614
25.44162	0.61755
25.64467	0.44806
25.77665	0.35696
25.83756	0.31897
26.04061	0.22336
26.18274	0.17620
26.25381	0.15270
26.45685	0.10570
26.60914	0.07496
26.68020	0.06401
26.87310	0.04132
27.02538	0.02635
27.09645	0.02458
27.28934	0.00832
27.43147	0.00671
27.49239	-0.00423
27.62437	-0.00793
27.72589	-0.00665
27.75635	-0.00906
27.89848	-0.00970
27.97970	-0.01598
28.02030	-0.02162
28.14213	-0.01502
28.24365	-0.01534
28.28426	-0.02274
28.41624	-0.02178
28.52792	-0.02113
28.57868	-0.02387
28.79188	-0.02644
29.00508	-0.02049
29.11675	-0.02918
29.53299	-0.02548
29.84772	-0.02628
29.96954	-0.02596
30.34518	-0.02355
30.61929	-0.02258
30.73096	-0.02982
31.06599	-0.02773
31.29949	-0.02387
31.40102	-0.02886
31.68528	-0.02805
31.91878	-0.02693
32.04061	-0.03224
32.40609	-0.03272
32.68020	-0.02950
32.84264	-0.03160
33.35025	-0.02564
33.75635	-0.02693
33.93909	-0.02371
34.39594	-0.02822
34.70051	-0.03272
35.16751	-0.02870
35.43147	-0.03514
35.57360	-0.02805
35.92893	-0.02999
36.15228	-0.03288
36.25381	-0.03224
36.54822	-0.02644
36.75127	-0.03143
36.84264	-0.02950
37.11675	-0.03240
37.28934	-0.02789
37.39086	-0.02966
37.67513	-0.02693
37.88832	-0.02999
38.01015	-0.03176
38.42640	-0.02886
38.75127	-0.03079
39.19797	-0.03127
39.47208	-0.02902
39.60406	-0.03401
39.97970	-0.03240
40.19289	-0.03320
40.27411	-0.02982
40.53807	-0.02982
40.72081	-0.02950
40.79188	-0.03127
41.03553	-0.03063
41.21827	-0.03079
41.28934	-0.02725
41.52284	-0.03224
41.69543	-0.02999
41.78680	-0.03031
42.06091	-0.02966
42.26396	-0.03015
42.36548	-0.02982
42.69036	-0.03401
42.95431	-0.02661
43.04569	-0.03433
43.40102	-0.02982
43.65482	-0.03385
43.76650	-0.03288
44.27411	-0.03047
44.63959	-0.03031
44.77157	-0.03256
45.24873	-0.02902
45.56345	-0.03208
45.70558	-0.02741
46.12183	-0.03160
46.40609	-0.03224
46.50761	-0.03658
46.85279	-0.03208
47.09645	-0.03385
47.17766	-0.03288
47.49239	-0.02870
47.73604	-0.02516
47.81726	-0.03256
48.13198	-0.03192
48.37563	-0.03063
48.47716	-0.03401
48.82234	-0.03143
49.11675	-0.03256
49.20812	-0.03385
49.66497	-0.03143
50.00000	-0.02886
50.14213	-0.03449
50.67005	-0.03417
51.08629	-0.03143
51.26904	-0.03143
51.90863	-0.03691
52.16244	-0.03240
52.32487	-0.02918
52.84264	-0.03079
53.14721	-0.02612
53.27919	-0.03111
53.64467	-0.03063
53.88832	-0.03176
53.97970	-0.02950
54.24365	-0.02934
54.38579	-0.02999
54.45685	-0.03192
54.63959	-0.03256
54.79188	-0.03417
54.86294	-0.03047
55.12690	-0.02725
55.36041	-0.03127
55.46193	-0.02822
55.82741	-0.02757
56.10152	-0.03852
56.22335	-0.03160
56.63959	-0.02677
56.95431	-0.03578
57.09645	-0.03143
57.54315	-0.03095
57.85787	-0.03546
57.97970	-0.02403
58.36548	-0.02886
58.69036	-0.02966
58.81218	-0.02693
59.21827	-0.02886
59.51269	-0.03530
59.66497	-0.03079
60.13198	-0.03079
60.44670	-0.03256
60.58883	-0.03836
61.02538	-0.02934
61.32995	-0.03095
61.46193	-0.03304
61.91878	-0.03465
62.19289	-0.02982
62.31472	-0.03578
62.65990	-0.03143
62.91371	-0.03498
63.03553	-0.03176
63.41117	-0.03127
63.71574	-0.03015
63.86802	-0.03063
64.35533	-0.02950
64.65990	-0.03063
64.79188	-0.03160
65.07614	-0.03610
65.30964	-0.02822
65.41117	-0.03127
65.76650	-0.02870
65.98985	-0.03047
66.09137	-0.03031
66.35533	-0.03176
66.50761	-0.02934
66.59898	-0.03337
66.86294	-0.03256
67.04569	-0.02580
67.11675	-0.03047
67.29949	-0.02596
67.37056	-0.03031
67.41117	-0.03095
67.56345	-0.03095
67.68528	-0.03143
67.90863	-0.02966
68.08122	-0.03015
68.37563	-0.02773
68.60914	-0.03095
68.72081	-0.02773
69.05584	-0.03176
69.30964	-0.03192
69.43147	-0.03320
69.79695	-0.03433
70.03046	-0.02838
70.13198	-0.03224
70.45685	-0.02966
70.65990	-0.02548
70.77157	-0.02757
71.16751	-0.02596
71.46193	-0.03095
71.61421	-0.02982
72.10152	-0.02612
72.45685	-0.02709
73.06599	-0.02773
73.57360	-0.02532
73.82741	-0.02435
74.73096	-0.02612
75.32995	-0.02870
75.65482	-0.02596
76.52792	-0.02644
76.98477	-0.02902
77.19797	-0.02419
77.84772	-0.02178
78.33503	0.02893
78.54822	0.08526
79.19797	0.35471
79.59391	0.42376
79.77665	0.41329
80.27411	0.34424
80.58883	0.27616
80.73096	0.24171
81.16751	0.17025
81.48223	0.13419
81.62437	0.10667
82.10152	0.06337
82.41624	0.04228
82.56853	0.03214
83.03553	0.01106
83.40102	0.00510
83.58376	0.00156
84.12183	-0.00600
84.45685	-0.01325
84.62944	-0.00793
85.06599	-0.01164
85.36041	-0.01824
85.50254	-0.02017
85.91878	-0.02017
86.18274	-0.02210
86.30457	-0.02033
86.64975	-0.02178
86.89340	-0.02129
87.00508	-0.02371
87.29949	-0.02162
87.48223	-0.02693
87.58376	-0.02435
87.82741	-0.02387
88.00000	-0.02194
88.07107	-0.02274
88.29442	-0.02355
88.44670	-0.02065
88.51777	-0.02532
88.73096	-0.02145
88.88325	-0.02677
88.94416	-0.02081
89.14721	-0.02323
89.28934	-0.02129
89.35025	-0.02709
89.52284	-0.02918
89.63452	-0.02242
89.67513	-0.02371
89.85787	-0.02644
89.98985	-0.02628
90.06091	-0.02467
