Black Body Radiation Experiment Fri, Nov 29, 2024 1:08 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.00575
0.00000	0.00623
0.00000	0.01042
0.00000	0.01235
0.00000	0.01235
0.00000	0.01331
0.01015	0.01219
0.01015	0.01299
0.01015	0.00881
0.01015	0.00687
0.01015	0.00929
0.01015	0.01476
0.01015	0.01669
0.01015	0.01524
0.02030	0.01524
0.02030	0.01380
0.02030	0.02023
0.02030	0.00929
0.03046	0.01138
0.03046	0.00929
0.03046	0.01347
0.03046	0.00752
0.03046	0.01846
0.03046	0.01637
0.03046	0.01315
0.03046	0.00945
0.03046	0.01573
0.03046	0.01814
0.03046	0.01524
0.03046	0.00993
0.04061	0.01637
0.04061	0.01814
0.06091	0.01718
0.07107	0.01718
0.08122	0.01524
0.09137	0.01927
0.12183	0.01878
0.17259	0.01202
0.23350	0.01412
0.56853	0.01315
0.78173	0.01460
0.86294	0.01991
1.12690	0.01750
1.23858	0.01830
1.27919	0.01009
1.32995	0.01605
1.34010	0.01106
1.35025	0.01975
1.43147	0.01653
1.51269	0.01524
1.55330	0.01540
1.68528	0.01701
1.78680	0.01653
1.84772	0.01766
2.07107	0.02023
2.24365	0.01460
2.33503	0.01718
2.55838	0.01878
2.69036	0.01718
2.76142	0.01412
2.93401	0.01862
3.07614	0.01331
3.14721	0.01991
3.39086	0.01911
3.55330	0.00993
3.63452	0.02184
3.84772	0.01589
3.97970	0.02007
4.12183	0.01508
4.30457	0.02104
4.45685	0.02007
4.52792	0.01589
4.74112	0.01701
4.85279	0.01943
4.89340	0.02394
5.05584	0.02217
5.19797	0.02088
5.34010	0.02056
5.62437	0.01975
5.87817	0.01750
6.29442	0.02023
6.57868	0.02249
6.68020	0.01959
7.03553	0.02120
7.21827	0.02023
7.30964	0.02184
7.54315	0.02136
7.67513	0.01669
7.74619	0.02072
8.00000	0.01605
8.18274	0.01718
8.27411	0.02442
8.44670	0.02056
8.58883	0.01878
8.78173	0.02265
9.15736	0.01991
9.44162	0.02345
9.84772	0.02329
10.08122	0.01492
10.20305	0.01943
10.46701	0.01814
10.64975	0.01878
10.72081	0.02458
10.97462	0.02377
11.16751	0.02072
11.34010	0.01830
11.65482	0.01975
11.90863	0.01782
12.01015	0.02603
12.46701	0.02555
12.75127	0.02233
13.12690	0.02474
13.35025	0.02313
13.45178	0.02023
13.70558	0.02715
13.84772	0.02233
13.91878	0.02780
14.15228	0.02506
14.24365	0.02361
14.33503	0.02265
14.45685	0.02812
14.53807	0.01911
14.57868	0.02297
14.78173	0.02104
14.91371	0.02748
14.99492	0.02313
15.21827	0.02796
15.39086	0.02474
15.46193	0.02828
15.72589	0.02748
15.94924	0.03408
16.07107	0.02796
16.59898	0.02780
16.86294	0.03456
16.96447	0.03102
17.34010	0.03359
17.57360	0.03939
17.67513	0.03890
18.11168	0.04695
18.34518	0.06015
18.83249	0.08172
19.02538	0.09444
19.19797	0.10474
19.59391	0.15962
19.77665	0.18715
19.94924	0.24203
20.27411	0.34859
20.43655	0.41281
20.77157	0.62302
20.92386	0.74181
21.20812	1.00224
21.38071	1.14791
21.55330	1.29551
