Black Body Radiation Experiment Fri, Nov 29, 2024 1:19 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.03240
0.00000	-0.03530
0.00000	-0.04029
0.00000	-0.03272
0.00000	-0.03417
0.00000	-0.03320
0.00000	-0.03369
0.00000	-0.03562
0.00000	-0.03337
0.00000	-0.03691
0.00000	-0.03803
0.00000	-0.03449
0.00000	-0.03240
0.00000	-0.03771
0.00000	-0.03610
0.00000	-0.03224
0.00000	-0.03771
0.00000	-0.03401
0.00000	-0.03417
0.00000	-0.03272
0.00000	-0.03143
0.00000	-0.03771
0.00000	-0.03256
0.00000	-0.03111
0.00000	-0.03015
0.00000	-0.03047
0.00000	-0.03433
0.00000	-0.03337
0.00000	-0.03433
0.00000	-0.03562
0.00000	-0.03498
0.00000	-0.03240
0.00000	-0.03498
0.00000	-0.03626
0.00000	-0.03369
0.00000	-0.03353
0.00000	-0.03353
0.00000	-0.03433
0.00000	-0.03095
0.00000	-0.03578
0.00000	-0.02902
0.00000	-0.03417
0.00000	-0.03095
0.00000	-0.03288
0.00000	-0.03304
0.00000	-0.03658
0.00000	-0.03642
0.00000	-0.03160
0.00000	-0.03143
0.00000	-0.03465
0.00000	-0.03127
0.00000	-0.03143
0.00000	-0.03401
0.00000	-0.03369
0.00000	-0.03095
0.00000	-0.03047
0.01015	-0.03160
0.01015	-0.03143
0.01015	-0.03465
0.01015	-0.03401
0.01015	-0.02982
0.01015	-0.03514
0.01015	-0.03481
0.01015	-0.03658
0.02030	-0.03610
0.03046	-0.02918
0.07107	-0.03176
0.11168	-0.03481
0.45685	-0.03498
0.67005	-0.03288
0.80203	-0.03288
1.18782	-0.03111
1.37056	-0.02966
1.45178	-0.03401
1.56345	-0.03417
1.59391	-0.03304
1.62437	-0.02870
1.71574	-0.03546
1.80711	-0.02982
1.90863	-0.02902
2.07107	-0.03256
2.19289	-0.03192
2.26396	-0.03095
2.42640	-0.03304
2.54822	-0.02838
2.59898	-0.03562
2.82234	-0.03240
2.94416	-0.03417
3.00508	-0.03658
3.21827	-0.02966
3.37056	-0.03272
3.44162	-0.03256
3.62437	-0.03160
3.74619	-0.03160
3.80711	-0.02902
4.05076	-0.03256
4.21320	-0.02757
4.30457	-0.03256
4.58883	-0.03079
4.75127	-0.03401
4.81218	-0.03385
5.04569	-0.02999
5.19797	-0.02500
5.27919	-0.02982
5.60406	-0.03256
5.79695	-0.02966
5.86802	-0.03240
6.13198	-0.03063
6.30457	-0.02628
6.40609	-0.03304
6.67005	-0.03063
6.80203	-0.02677
6.87310	-0.03610
7.05584	-0.03015
7.13706	-0.02870
7.16751	-0.02516
7.28934	-0.02886
7.40102	-0.03369
7.46193	-0.02677
7.66497	-0.02982
7.81726	-0.03160
7.90863	-0.03208
8.20305	-0.03127
8.42640	-0.02677
8.52792	-0.03530
8.89340	-0.02677
9.17766	-0.02854
9.32995	-0.02548
9.89848	-0.02966
10.28426	-0.02757
10.47716	-0.02870
10.86294	-0.02371
11.10660	-0.02870
11.19797	-0.02403
11.57360	-0.02049
11.81726	-0.02596
11.90863	-0.02982
12.31472	-0.02387
12.51777	-0.02226
12.59898	-0.02387
12.87310	-0.02242
13.04569	-0.02339
13.13706	-0.01872
13.43147	-0.02178
13.64467	-0.01775
13.83756	-0.01663
14.27411	-0.01486
14.55838	-0.01502
14.86294	-0.01131
15.49239	-0.00391
15.75635	0.00301
15.94924	0.01138
16.34518	0.02426
16.54822	0.03247
16.73096	0.04019
17.10660	0.06128
17.30964	0.07271
17.50254	0.09073
17.84772	0.12405
18.05076	0.14514
18.22335	0.17701
18.69036	0.26537
18.96447	0.32863
19.25888	0.41007
19.98985	0.75791
20.33503	1.04988
20.59898	1.41961
20.90355	1.95882
21.11675	2.30810
21.28934	2.68250
21.65482	3.40635
21.84772	3.71701
22.03046	3.98405
22.40609	4.32111
22.60914	4.36361
22.82234	4.32771
23.38071	3.91322
23.75635	3.51918
23.89848	3.33697
24.34518	2.63260
24.62944	2.20139
24.73096	2.03511
25.06599	1.48109
25.29949	1.19105
25.39086	1.07467
25.64467	0.75935
25.82741	0.59807
25.89848	0.53755
26.12183	0.37579
26.28426	0.29258
26.34518	0.26135
26.61929	0.17846
26.81218	0.13838
26.89340	0.12003
27.13706	0.07818
27.31980	0.06031
27.39086	0.05452
27.66497	0.03778
27.82741	0.02410
27.90863	0.01959
28.14213	0.01090
28.32487	0.00317
28.39594	0.00317
28.64975	-0.00246
28.78173	-0.00391
28.85279	-0.00713
29.12690	-0.00649
29.29949	-0.00922
29.37056	-0.01164
29.62437	-0.01727
29.82741	-0.01695
29.90863	-0.01502
30.18274	-0.01727
30.38579	-0.01308
30.47716	-0.01292
30.71066	-0.01759
30.86294	-0.01872
30.92386	-0.02210
31.11675	-0.02242
31.26904	-0.01630
31.35025	-0.01598
31.59391	-0.01888
31.74619	-0.02323
31.80711	-0.01824
32.00000	-0.01824
32.11168	-0.02129
32.13198	-0.02500
32.15228	-0.02065
32.15228	-0.02290
32.15228	-0.02306
32.15228	-0.01936
32.16244	-0.01872
32.19289	-0.01968
32.24365	-0.02612
32.27411	-0.02081
32.29442	-0.02612
32.32487	-0.02805
32.35533	-0.02371
32.37563	-0.02693
32.44670	-0.02886
32.49746	-0.01936
32.50761	-0.02339
32.52792	-0.02355
32.52792	-0.02210
32.53807	-0.02258
32.61929	-0.02290
32.72081	-0.02210
32.77157	-0.02323
32.96447	-0.02226
33.10660	-0.02178
33.17766	-0.02049
33.38071	-0.02274
33.52284	-0.02628
33.57360	-0.02097
33.68528	-0.02178
33.72589	-0.02467
33.73604	-0.02419
33.73604	-0.02194
33.73604	-0.02306
33.73604	-0.02339
33.74619	-0.02371
33.76650	-0.02757
33.83756	-0.02757
33.86802	-0.02387
34.03046	-0.02371
34.20305	-0.02403
34.29442	-0.02532
34.57868	-0.02757
34.78173	-0.02677
34.90355	-0.02339
35.18782	-0.03111
35.37056	-0.02693
35.47208	-0.02580
35.79695	-0.02628
36.05076	-0.03015
36.16244	-0.02950
36.47716	-0.02854
36.61929	-0.02500
36.65990	-0.02483
36.70051	-0.02516
36.72081	-0.02725
36.72081	-0.02371
36.75127	-0.02387
36.77157	-0.02934
36.84264	-0.02210
36.89340	-0.03031
37.09645	-0.02725
37.26904	-0.02902
37.35025	-0.02725
37.60406	-0.02741
37.76650	-0.02306
37.83756	-0.02596
38.09137	-0.02564
38.24365	-0.02773
38.30457	-0.02950
38.48731	-0.02467
38.64975	-0.02548
38.75127	-0.02532
39.00508	-0.02661
39.22843	-0.02323
39.30964	-0.02661
39.54315	-0.02725
39.66497	-0.02757
39.73604	-0.03160
39.82741	-0.02693
39.88832	-0.02516
39.92893	-0.02596
40.06091	-0.03079
40.19289	-0.02822
40.24365	-0.02709
40.47716	-0.02999
40.68020	-0.02226
40.77157	-0.02805
41.03553	-0.02467
41.14721	-0.02966
41.19797	-0.02467
41.32995	-0.02934
41.44162	-0.02822
41.49239	-0.03417
41.67513	-0.03498
41.78680	-0.03127
41.81726	-0.02741
41.96954	-0.02339
42.09137	-0.02789
42.14213	-0.02532
42.27411	-0.03111
42.35533	-0.02548
42.38579	-0.02709
42.47716	-0.02483
42.56853	-0.02982
42.60914	-0.02467
42.79188	-0.03160
42.97462	-0.03015
43.08629	-0.03031
43.40102	-0.02789
43.59391	-0.03256
43.67513	-0.02902
43.89848	-0.02918
44.05076	-0.02677
44.09137	-0.02661
44.24365	-0.02709
44.37563	-0.02934
44.42640	-0.02677
44.64975	-0.02628
44.80203	-0.02548
44.86294	-0.03063
45.09645	-0.02789
45.26904	-0.02516
45.34010	-0.02741
45.56345	-0.03337
45.69543	-0.02644
45.73604	-0.02999
45.90863	-0.02870
46.04061	-0.02886
46.08122	-0.03079
46.21320	-0.03111
46.32487	-0.02532
46.36548	-0.02451
46.47716	-0.02999
46.52792	-0.02757
46.54822	-0.03063
46.59898	-0.02902
46.64975	-0.03047
46.68020	-0.02516
46.78173	-0.03111
46.89340	-0.02564
46.93401	-0.03031
47.09645	-0.02966
47.24873	-0.03079
47.29949	-0.02741
47.49239	-0.02805
47.61421	-0.02628
47.66497	-0.02725
47.80711	-0.02902
47.87817	-0.03320
47.92893	-0.02564
48.10152	-0.02677
48.23350	-0.03047
48.28426	-0.03079
48.52792	-0.02564
48.65990	-0.02838
48.71066	-0.02854
48.86294	-0.02387
48.94416	-0.02934
48.98477	-0.02661
49.13706	-0.03095
49.26904	-0.02596
49.31980	-0.02950
49.51269	-0.03015
49.66497	-0.02580
49.73604	-0.02371
49.94924	-0.02773
50.13198	-0.02725
50.20305	-0.02870
50.42640	-0.02677
50.59898	-0.02725
50.64975	-0.02403
50.89340	-0.02306
51.06599	-0.03111
51.13706	-0.02596
51.37056	-0.02741
51.53299	-0.03063
51.58376	-0.03192
51.76650	-0.02483
51.89848	-0.02902
51.95939	-0.02371
52.14213	-0.02435
52.30457	-0.02870
52.38579	-0.03208
52.63959	-0.02886
52.83249	-0.02838
52.90355	-0.02854
53.13706	-0.02644
53.29949	-0.03031
53.35025	-0.02789
53.51269	-0.02242
53.63452	-0.02693
53.67513	-0.02725
53.87817	-0.02677
54.05076	-0.02661
54.12183	-0.02982
54.34518	-0.03015
54.50761	-0.02483
54.56853	-0.02822
54.75127	-0.02902
54.88325	-0.03546
54.94416	-0.03160
55.13706	-0.02387
55.32995	-0.03079
55.41117	-0.02483
55.73604	-0.02854
55.93909	-0.02725
56.04061	-0.02773
56.32487	-0.02532
56.53807	-0.02467
56.61929	-0.02709
56.88325	-0.02612
57.07614	-0.02628
57.16751	-0.02838
57.46193	-0.03385
57.68528	-0.02838
57.77665	-0.02757
58.00000	-0.02323
58.19289	-0.02886
58.26396	-0.02709
58.49746	-0.02403
58.65990	-0.02628
58.75127	-0.02290
59.04569	-0.03176
59.28934	-0.03111
59.42132	-0.02773
59.87817	-0.02355
60.16244	-0.02886
60.29442	-0.02966
60.65990	-0.02403
60.92386	-0.02725
61.03553	-0.02306
61.35025	-0.03047
61.56345	-0.02982
61.67513	-0.02854
61.96954	-0.02741
62.18274	-0.02741
62.26396	-0.02306
62.55838	-0.02709
62.77157	-0.02419
62.87310	-0.02902
63.20812	-0.02451
63.46193	-0.02306
63.58376	-0.02934
63.95939	-0.02403
64.21320	-0.03079
64.33503	-0.02773
64.75127	-0.02902
65.00508	-0.02339
65.11675	-0.02628
65.47208	-0.02306
65.68528	-0.02451
65.79695	-0.02258
66.15228	-0.02081
66.42640	-0.02306
66.56853	-0.02548
67.05584	-0.02612
67.42132	-0.02290
67.60406	-0.02371
68.16244	-0.02435
68.51777	-0.02628
68.69036	-0.02290
69.34010	-0.02435
69.79695	-0.02210
70.02030	-0.02419
70.74112	-0.02661
71.27919	-0.02274
71.53299	-0.02017
72.20305	-0.01727
72.59898	-0.02017
72.76142	-0.02178
73.16751	-0.01679
73.50254	-0.01904
73.65482	-0.01824
74.11168	-0.01727
74.43655	-0.02162
74.58883	-0.02274
75.08629	-0.02049
75.47208	-0.01389
75.69543	-0.01502
76.26396	-0.01469
76.65990	-0.01582
76.86294	-0.01888
77.44162	-0.01534
77.82741	-0.00375
78.02030	0.00027
78.46701	0.03520
78.78173	0.05741
78.96447	0.06498
79.45178	0.06369
79.78680	0.05999
79.96954	0.05500
80.42640	0.03263
80.75127	0.02329
80.90355	0.02072
81.31980	0.00832
81.60406	0.00221
81.76650	0.00076
82.20305	-0.00552
82.52792	-0.00793
82.65990	-0.01067
83.08629	-0.00890
83.40102	-0.01019
83.53299	-0.01131
83.92893	-0.01308
84.20305	-0.01035
84.32487	-0.01148
84.68020	-0.01341
84.90355	-0.01196
84.99492	-0.01453
85.29949	-0.01630
85.50254	-0.01518
85.60406	-0.01727
85.87817	-0.01389
86.09137	-0.01373
86.20305	-0.01518
86.55838	-0.01952
86.79188	-0.01502
86.88325	-0.02081
87.26904	-0.01791
87.52284	-0.01791
87.65482	-0.01614
88.11168	-0.01727
88.39594	-0.01582
88.50761	-0.01486
88.85279	-0.01743
89.08629	-0.01550
89.19797	-0.01791
89.49239	-0.01292
89.67513	-0.01663
89.77665	-0.01630
90.08122	-0.01791
