Black Body Radiation Experiment Fri, Nov 29, 2024 1:13 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.03900
0.00000	-0.04544
0.00000	-0.04399
0.00000	-0.04286
0.00000	-0.03771
0.00000	-0.04431
0.00000	-0.04463
0.00000	-0.03562
0.00000	-0.04318
0.00000	-0.04399
0.00000	-0.04335
0.00000	-0.03658
0.00000	-0.03868
0.00000	-0.04238
0.00000	-0.04463
0.00000	-0.04479
0.00000	-0.04286
0.00000	-0.04093
0.00000	-0.04109
0.00000	-0.04238
0.00000	-0.04109
0.00000	-0.04335
0.00000	-0.04286
0.00000	-0.04415
0.00000	-0.04415
0.00000	-0.03819
0.00000	-0.04093
0.00000	-0.04077
0.00000	-0.04383
0.00000	-0.04270
0.00000	-0.04174
0.00000	-0.03836
0.00000	-0.03868
0.00000	-0.04479
0.00000	-0.04351
0.00000	-0.04512
0.00000	-0.03852
0.00000	-0.04576
0.00000	-0.03932
0.00000	-0.04077
0.00000	-0.04206
0.00000	-0.04013
0.01015	-0.04383
0.01015	-0.03803
0.01015	-0.03932
0.01015	-0.04077
0.01015	-0.03852
0.01015	-0.04512
0.01015	-0.03658
0.01015	-0.04045
0.01015	-0.04013
0.01015	-0.03916
0.01015	-0.03787
0.01015	-0.03819
0.01015	-0.03884
0.01015	-0.03787
0.01015	-0.03498
0.01015	-0.03562
0.01015	-0.03884
0.01015	-0.04045
0.01015	-0.03675
0.01015	-0.03498
0.01015	-0.03514
0.01015	-0.03562
0.01015	-0.04286
0.01015	-0.03691
0.01015	-0.03723
0.01015	-0.03932
0.01015	-0.03707
0.01015	-0.03691
0.01015	-0.03594
0.01015	-0.04141
0.01015	-0.04093
0.01015	-0.03819
0.01015	-0.03948
0.01015	-0.03546
0.01015	-0.03594
0.01015	-0.03900
0.01015	-0.03836
0.01015	-0.04013
0.01015	-0.03610
0.01015	-0.04125
0.01015	-0.03852
0.01015	-0.03658
0.01015	-0.03884
0.01015	-0.03675
0.01015	-0.03755
0.01015	-0.03819
0.01015	-0.03900
0.01015	-0.03900
0.01015	-0.04045
0.01015	-0.03755
0.01015	-0.04125
