Black Body Radiation Experiment Mon, Nov 25, 2024 4:39 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01015	-0.01437
0.01015	-0.00954
0.01015	-0.00938
0.01015	-0.01292
0.01015	-0.01308
0.01015	-0.01019
0.01015	-0.01196
0.01015	-0.01115
0.02030	-0.01244
0.02030	-0.01212
0.02030	-0.00842
0.03046	-0.01228
0.03046	-0.01212
0.03046	-0.01357
0.03046	-0.01341
0.04061	-0.01228
0.06091	-0.01244
0.15228	-0.01308
0.21320	-0.00938
0.39594	-0.01019
0.54822	-0.01019
0.63959	-0.00874
0.92386	-0.00970
1.12690	-0.01405
1.23858	-0.01035
1.51269	-0.01131
1.69543	-0.00954
1.78680	-0.01228
2.11168	-0.00954
2.36548	-0.00777
2.51777	-0.01357
2.91371	-0.01083
3.10660	-0.01308
3.17766	-0.01421
3.43147	-0.00922
3.58376	-0.01131
3.63452	-0.01582
3.84772	-0.01131
3.98985	-0.01196
4.14213	-0.01325
4.34518	-0.01228
4.48731	-0.00970
4.53807	-0.01083
4.76142	-0.00970
4.91371	-0.00842
4.98477	-0.01003
5.25888	-0.01035
5.49239	-0.01534
5.60406	-0.01292
5.92893	-0.01711
6.15228	-0.00987
6.24365	-0.01663
6.67005	-0.00970
6.93401	-0.01019
7.07614	-0.01148
7.48223	-0.01228
7.78680	-0.01308
7.92893	-0.01260
8.40609	-0.01035
8.72081	-0.01341
8.87310	-0.01180
9.27919	-0.01453
9.55330	-0.00987
9.67513	-0.00922
10.07107	-0.00793
10.37563	-0.00970
10.53807	-0.00938
10.85279	-0.01228
11.08629	-0.01341
11.17766	-0.01164
11.48223	-0.01099
11.69543	-0.01453
11.77665	-0.01228
12.05076	-0.01534
12.26396	-0.01421
12.34518	-0.00987
12.58883	-0.00761
12.78173	-0.01099
12.86294	-0.01148
13.26904	-0.01212
13.49239	-0.01083
13.58376	-0.01212
13.85787	-0.01164
14.03046	-0.01373
14.09137	-0.01003
14.33503	-0.01389
14.49746	-0.01405
14.55838	-0.00761
14.76142	-0.01518
14.88325	-0.01196
14.94416	-0.00890
15.12690	-0.01212
15.25888	-0.00826
15.30964	-0.00697
15.43147	-0.01180
15.47208	-0.01244
15.49239	-0.00842
15.50254	-0.00938
15.51269	-0.01003
15.53299	-0.01308
15.58376	-0.01003
15.61421	-0.00713
15.64467	-0.01051
15.71574	-0.01099
15.75635	-0.01260
15.78680	-0.00810
15.86802	-0.00729
15.89848	-0.00858
15.92893	-0.01276
16.00000	-0.01148
16.07107	-0.00954
16.11168	-0.01067
16.28426	-0.01035
16.41624	-0.01260
16.49746	-0.01228
16.71066	-0.01035
16.84264	-0.01228
16.91371	-0.00922
17.07614	-0.01180
17.17766	-0.00938
17.21827	-0.00890
17.32995	-0.01019
17.41117	-0.01003
17.45178	-0.00874
17.57360	-0.00729
17.67513	-0.00488
17.72589	-0.01019
17.92893	-0.00439
18.05076	-0.00616
18.10152	-0.01260
18.26396	-0.00488
18.33503	-0.00520
18.36548	-0.00375
18.47716	-0.00665
18.53807	-0.00246
18.58883	-0.00198
18.69036	-0.00182
18.73096	0.00124
18.81218	-0.00359
19.00508	0.00205
19.13706	0.00253
19.22843	0.00768
19.53299	0.00881
19.67513	0.01444
19.80711	0.01943
20.10152	0.03649
20.22335	0.04212
20.34518	0.04776
20.57868	0.06916
20.67005	0.08236
20.76142	0.09476
20.92386	0.11423
20.99492	0.13371
21.04569	0.14578
21.22843	0.17314
21.29949	0.19053
21.34010	0.20244
21.42132	0.22336
21.45178	0.23238
21.48223	0.23592
21.56345	0.24896
21.61421	0.25539
21.63452	0.25974
21.72589	0.27696
21.76650	0.27712
21.78680	0.28163
21.89848	0.28968
21.94924	0.29499
21.98985	0.29982
22.10152	0.30400
22.13198	0.30931
22.14213	0.30803
22.20305	0.30738
22.24365	0.30722
22.25381	0.30803
22.32487	0.30964
22.38579	0.30931
22.41624	0.30738
22.49746	0.30223
22.55838	0.29757
22.57868	0.29660
22.64975	0.29402
22.70051	0.29064
22.72081	0.28726
22.77157	0.27761
22.81218	0.27407
22.83249	0.26891
22.87310	0.26022
22.89340	0.25459
22.91371	0.25314
22.98477	0.25024
23.03553	0.23946
23.06599	0.23399
23.16751	0.22642
23.23858	0.21548
23.26904	0.21000
23.39086	0.19069
23.46193	0.18296
23.48223	0.17556
23.58376	0.16188
23.65482	0.14997
