Black Body Radiation Experiment Fri, Nov 29, 2024 1:41 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.04318
0.00000	-0.04174
0.00000	-0.04737
0.00000	-0.04415
0.00000	-0.04077
0.00000	-0.04801
0.00000	-0.04495
0.00000	-0.04077
0.00000	-0.04415
0.00000	-0.04286
0.00000	-0.04254
0.00000	-0.04238
0.00000	-0.04141
0.00000	-0.03932
-0.01015	-0.04817
-0.01015	-0.03996
-0.01015	-0.04286
-0.01015	-0.04222
-0.01015	-0.04093
-0.01015	-0.04479
-0.01015	-0.04222
-0.01015	-0.04335
-0.01015	-0.03948
-0.01015	-0.03884
-0.01015	-0.03996
-0.01015	-0.04351
-0.01015	-0.04109
-0.01015	-0.03948
-0.01015	-0.04222
-0.01015	-0.04576
0.03046	-0.04399
0.12183	-0.04495
0.27411	-0.03980
0.37563	-0.04254
0.77157	-0.04141
1.04569	-0.03932
1.18782	-0.04302
1.43147	-0.04045
1.60406	-0.04174
1.67513	-0.04399
1.97970	-0.04608
2.26396	-0.03739
2.41624	-0.04109
2.82234	-0.04157
2.99492	-0.03836
3.08629	-0.04125
3.32995	-0.04157
3.48223	-0.03771
3.56345	-0.03610
3.82741	-0.03884
4.02030	-0.03980
4.22335	-0.03868
4.45685	-0.04174
4.60914	-0.04367
4.69036	-0.03900
4.89340	-0.04093
5.00508	-0.03658
5.06599	-0.03900
5.24873	-0.03320
5.39086	-0.04029
5.46193	-0.03852
5.77665	-0.03498
5.93909	-0.03932
6.03046	-0.03578
6.33503	-0.03771
6.55838	-0.04206
6.65990	-0.03691
6.99492	-0.03626
7.24873	-0.03562
7.37056	-0.03546
7.80711	-0.03964
8.09137	-0.03546
8.23350	-0.03707
8.46701	-0.03498
8.61929	-0.03916
8.67005	-0.03707
8.88325	-0.03562
9.05584	-0.03530
9.14721	-0.03385
9.44162	-0.03530
9.64467	-0.03240
9.74619	-0.03658
10.17259	-0.03530
10.43655	-0.03771
10.56853	-0.03562
10.89340	-0.03192
11.14721	-0.03369
11.25888	-0.03739
11.66497	-0.03417
11.87817	-0.03320
11.93909	-0.02982
12.20305	-0.03160
12.38579	-0.03288
12.54822	-0.03369
12.74112	-0.03514
12.89340	-0.03465
12.94416	-0.02757
13.15736	-0.03288
13.31980	-0.02934
13.51269	-0.03127
13.84772	-0.02548
14.09137	-0.02661
14.22335	-0.02725
14.80203	-0.02483
15.10660	-0.02612
15.24873	-0.02371
15.91878	-0.02709
16.23350	-0.00970
16.48731	-0.01003
17.03553	0.00816
17.29949	0.01524
17.40102	0.02249
17.82741	0.05275
18.06091	0.06965
18.28426	0.09862
18.80203	0.17685
19.20812	0.26859
19.57360	0.39688
20.32487	0.93480
20.73096	1.36585
21.13706	1.86128
21.74619	2.62246
22.04061	2.86503
22.25381	2.95903
22.60914	2.88966
22.80203	2.74737
22.98477	2.55534
23.23858	2.23229
23.40102	1.99214
23.47208	1.89894
23.66497	1.58572
23.80711	1.39160
23.86802	1.29937
24.08122	1.04779
24.24365	0.88184
24.31472	0.82100
24.56853	0.62174
24.75127	0.51067
24.83249	0.45048
25.09645	0.33072
25.28934	0.25475
25.38071	0.23109
25.72589	0.15850
26.03046	0.11633
26.16244	0.10200
26.53807	0.06337
26.76142	0.04550
26.85279	0.03472
27.15736	0.02217
27.39086	0.00720
27.48223	0.00591
27.75635	0.00044
27.95939	-0.00600
28.05076	-0.00600
28.34518	-0.01228
28.48731	-0.01743
28.57868	-0.02339
28.85279	-0.02145
29.07614	-0.01872
29.16751	-0.02081
29.43147	-0.01936
29.66497	-0.02323
29.76650	-0.02548
30.08122	-0.02403
30.27411	-0.02709
30.38579	-0.02789
30.73096	-0.02532
31.01523	-0.02677
31.16751	-0.02789
31.60406	-0.02451
31.91878	-0.02886
32.08122	-0.02644
32.56853	-0.02677
32.88325	-0.03160
33.07614	-0.03015
33.61421	-0.02902
34.01015	-0.02886
34.20305	-0.03031
34.81218	-0.03288
35.22843	-0.03127
35.43147	-0.02950
35.92893	-0.03369
36.19289	-0.03160
36.32487	-0.03127
36.57868	-0.02564
36.75127	-0.03031
36.91371	-0.02966
37.34010	-0.02999
37.63452	-0.02934
37.79695	-0.03433
38.26396	-0.02822
38.59898	-0.03353
38.80203	-0.02822
39.39086	-0.03465
39.77665	-0.02789
39.94924	-0.03063
40.33503	-0.03111
40.60914	-0.03160
40.74112	-0.03095
41.12690	-0.03449
41.39086	-0.03417
41.50254	-0.03143
41.83756	-0.02999
42.06091	-0.03047
42.14213	-0.03095
42.47716	-0.03337
42.70051	-0.03433
42.79188	-0.03320
43.09645	-0.03176
43.31980	-0.02773
43.42132	-0.03240
43.74619	-0.03111
43.95939	-0.03288
44.04061	-0.02886
